COL1;COL2;COL3;COL4;COL5;COL6
-2.117091046;0.2117472084;-1.688674422;-0.55649629;-2.916594878;2.0816838963
-2.446421367;0.693875142;-2.79505218;-0.042643763;-1.18990678;0.279185642
-1.095257691;-1.087377672;-1.594041412;1.8288117204;-1.250995376;0.2074483048
-1.499620837;0.5471609986;-2.412958344;1.3512799769;-4.789103704;-0.616855958
-3.044781834;-0.063317174;-1.768097567;-1.136117025;-0.613430284;0.7506453464
-2.466105256;-1.564940688;-1.062451662;-0.207616152;-2.153910612;0.2006338884
-0.255382378;1.0233161832;-1.681715581;1.189160279;-0.70567416;0.0679332354
-2.051854218;0.0884461432;-1.053110683;-0.367985204;-1.397188422;0.3767598932
-2.659927137;-0.699570207;-1.712512094;-0.040635673;-2.596014338;1.7665181485
-3.094226401;-0.315219537;-1.855282397;1.3180838852;-0.994871521;1.538569974
-2.005487681;-0.490010828;-2.921237033;-1.608505656;-3.30119771;-2.303578696
-1.622726334;-0.887613963;-2.024421918;0.8208992017;-0.585371035;0.3151839584
-2.014861423;-0.638936713;-2.372203928;0.126094988;-1.622938825;0.6923204643
-1.714060977;1.2029749115;-2.908621884;-0.106936671;-1.801867465;-0.256555004
-3.305127774;0.5663689386;-2.558909103;1.5493682448;-1.409244233;0.718680946
-1.95172354;1.3235663375;-2.154033654;-0.546445627;-1.357255741;0.5621703931
-2.078069561;2.1925104324;-0.075116587;0.231884358;-1.131911915;-1.411060538
-1.747587328;2.4418372576;-2.500050684;-0.313687535;-1.552610973;0.6734029379
-1.366526089;-1.127176058;-3.514339951;0.5327352712;-1.862879379;0.0226827953
-0.546979873;1.8232180781;-2.265377842;-0.138968426;-4.308488082;0.3982171149
-0.873685275;1.3276019352;-1.976466335;0.5757445695;-1.687683389;1.5824620493
-1.624409223;-1.08478828;-3.776316617;-0.247909221;-0.972080882;0.7142866249
-1.396999816;-0.383699187;-4.106161559;1.4385786435;-2.259591946;-1.112772815
0.621170796;-0.209256017;-3.005997661;-1.528780987;-2.805258358;0.8054537634
-1.23382019;-0.44981824;-2.554037508;2.3287517927;-2.752284118;0.3588735731
-3.785295876;-0.443766057;-1.467932922;-1.23888526;-0.055391438;-1.141285241
-1.532923401;1.0184792641;-1.27718193;0.0032111277;-2.168140679;-0.564732988
-0.806512157;1.3923506607;-1.445647683;0.8449099244;-3.332683359;-0.247878378
-1.314707196;-0.36572727;-1.340479279;-1.284622244;-2.261395487;-1.287797842
-0.527399005;0.8315398598;-3.306963312;0.0574558353;-3.553590216;-1.190948311
-2.873277724;-0.967117422;-1.764016935;-0.607772982;-1.476495438;-0.475231929
-1.852968357;-0.415041319;-2.519146611;1.255808821;-4.152372902;0.5484265039
-3.075693366;0.1632302047;-0.977427588;-0.516609373;-3.048269195;2.4964414284
-1.587399095;1.4267274254;-1.278052997;1.0646110803;-1.805760293;-0.774072171
-1.820788067;0.0204472047;-1.754760349;-0.996087489;-2.608798498;2.4663645604
-3.226083518;-0.045357981;-1.355851884;-0.258530335;-1.816470116;1.4334675362
-1.56179687;0.7033892797;-1.585670195;-0.880460641;-2.250940744;0.3869181145
-0.306122885;-0.105827883;-1.718668895;1.3547910985;-3.216471646;-0.597969276
-2.110220848;0.3812223289;-1.773585692;-1.628210489;0.0014747896;0.130264913
-3.400621351;2.1384925223;-1.357536483;0.1737957816;-1.414242966;-1.931900112
-1.171463345;-0.728898989;-1.963801134;-0.457806258;-2.175999032;0.6652859717
-0.951105408;0.8583765716;-4.179436262;0.3679794881;-1.869014847;1.170182343
-2.56166376;-1.675306199;-2.057373623;-0.138620271;-1.123780099;-0.358493073
-1.138251587;-0.173898966;-2.557717018;-0.025812762;-2.348232567;-1.388846066
-2.08326688;0.1896201926;-2.116969583;0.5593798198;-3.161828385;0.2390282002
-1.250522152;-0.632174039;-1.968898081;1.0115999654;-2.135464934;-0.335616319
-3.044599702;0.7112982411;-1.40869097;-0.431417814;-1.785969434;0.4086685803
-2.872890599;0.3875668786;-1.837606297;-0.371892348;-3.015065625;-0.218505108
-1.405440617;-1.471183925;-5.150135832;2.1025487196;-2.442612269;1.074830151
-0.401210437;-0.249366771;-2.806029182;-0.260167225;-1.525629688;-0.433869784
-2.491731765;-0.187578536;-1.599460431;2.5863648822;-2.411197213;0.7570367487
-2.022375093;1.8216875879;-2.940567035;0.3869727588;-2.97312887;-1.478177435
-1.238899441;0.4457758607;-2.970575502;0.6221339026;-1.829217367;-0.298356696
-1.482808;-1.410825919;-3.551483584;0.8550490522;-2.661509158;-0.904634184
-3.551860629;-0.497002262;-3.036340803;-1.751578477;-1.978540144;0.295057041
-2.868695355;1.9235916569;-3.02469261;1.5145025558;-2.397444712;-1.175223713
-2.872633273;0.034222667;-1.677298044;2.0930297947;-2.213161454;-0.819278505
-3.041856027;-0.462285587;-3.962986639;-0.75577059;-0.301494563;-0.168064136
-1.719022166;-0.39925392;-1.618220444;0.0966774638;-0.741636761;-1.169180716
-1.442105904;0.7358611325;-0.499729926;0.4465282964;-2.819471985;0.9788863369
-2.355482316;0.3173147803;-1.303672598;-1.236326284;-3.79632423;-0.32618464
0.2233408139;-1.278478306;-3.210189584;-0.346118538;-3.24346309;1.4792611616
-3.367356014;0.5182613975;-3.246494909;1.3339530338;-0.530944911;0.0241088317
-1.34248156;-1.428295539;-2.477940782;-0.33313621;-0.949907141;-0.977326924
-2.665676061;0.829331698;-2.237956035;0.4125581458;-1.61537446;-1.093683745
-1.202402485;-0.355646673;-2.002321646;1.1828282171;-3.167707623;0.2117748867
-1.472286299;1.3265843311;-1.398465167;0.5529481868;-2.266278769;-1.962088058
-2.728988248;-1.654051056;-1.8723973;0.3726289208;-3.193752525;0.429606609
-1.742880567;1.1886485756;-1.178656315;-1.737576195;-0.502577274;1.3590617681
-1.117917916;-1.108662751;-1.660110001;1.1488359512;-2.796971385;2.3385450625
-2.286930034;-1.595998656;-1.492434738;-0.352400377;-2.777141322;-0.059095357
-0.981691651;-2.077733631;-0.307669796;0.6160388412;-1.831879996;0.9012681094
-0.90867766;0.6158122712;-1.785678328;0.007633365;-0.876126641;1.1871574064
0.6588369399;0.6839631627;-2.01416528;-0.986898811;-2.384351491;0.5112642323
-2.195749295;0.5060237911;-2.694232525;1.4638598885;-3.638665386;1.27132395
-2.722879798;-2.114564057;-1.313708182;-1.722985452;-1.114633239;1.3153833151
-2.814066963;0.1469935025;-0.17047008;0.5035350554;-0.285636365;-0.022408498
-0.799691032;-0.762627196;-1.604465667;0.981492836;-0.940536001;0.4706806593
-3.57729961;1.2568459803;-1.350242694;0.827173869;-2.039166936;-0.780806091
-4.65335741;0.8756248719;-2.632453436;0.4456387809;-2.727306105;-0.219024271
-1.695153701;-1.031110407;-2.086376368;2.267121829;0.7388643519;2.0926093143
-1.54569296;0.8314498811;-1.607746482;-0.790235233;-2.060619068;1.3247869079
-2.24273124;0.7262975594;-1.426346847;-1.174790234;-1.827351506;1.5373897472
-2.254920413;0.6046604822;-2.584665982;-1.031727139;-2.267726297;-0.944268981
-1.407580849;0.5727226779;-1.581726015;1.0944304173;-3.462530103;0.2214134164
-1.585656223;-1.276584704;-1.392879659;-0.955011812;0.2080168884;0.1257298275
-0.17818719;1.254615132;-2.597355121;-0.520605623;-1.841808638;0.5820787721
-2.538369983;-0.369841664;-1.56597012;-0.887048798;-2.175998084;-0.477473435
-1.244187056;0.369387039;-2.371891617;1.0573656783;-1.541422433;0.471835635
-0.655259765;-0.560790465;-2.08884481;-0.654770052;-1.960213162;-0.531489732
-0.482583032;-0.678895773;-1.020768535;-0.305232446;-0.749654053;-0.063724884
-0.838755783;2.2606452654;-4.002793992;0.2325909648;-3.015108149;0.0045935835
-2.727432752;1.760842236;-2.954494639;-0.506148794;-1.049620827;-0.700855679
-0.699323018;-0.813565163;-1.969895017;-0.548265548;-2.941489983;-0.230812771
-2.038971243;-1.655872139;-1.032338874;0.1376801913;-1.341868788;1.5113588371
-0.984620659;0.1101854652;-1.125508169;0.7885109491;-1.72186672;1.0673869894
-2.841135985;1.5198849273;-0.337303224;-0.550998318;-2.862135353;1.1539079475
-2.481492909;1.6227656662;-1.086248371;2.1686394328;-2.574767113;0.4050352327
-0.787438017;-1.30583942;-2.051773531;1.0701777078;-2.175168386;-0.073208139
-4.165199191;-0.139245893;-2.262171521;0.7985074379;-1.682343707;0.0624208339
-1.437952299;0.0038910789;-4.951450909;-2.370107069;-2.753712887;1.0298851893
-1.854342362;0.1422724715;-1.322818289;-1.662176946;-2.833478064;-1.11757272
-2.872593397;0.1776803628;-1.550850401;-0.243761274;-1.133321137;-1.56903317
-3.486522893;1.1332930766;-2.108784698;-0.684968045;-1.596686163;1.2094728158
-1.718570257;1.1614496318;-0.463146173;-0.627272451;-2.017390515;-0.018948372
-1.668616035;0.8727578942;-4.314008143;1.2952535742;-3.101523331;0.2141341814
-3.101030201;-0.978617027;-2.157860026;1.3820454656;-2.782107721;-1.003504539
-1.589779749;0.1581289876;-3.285535415;-1.737924987;-0.80367901;1.5230931702
-0.162533528;0.3692255091;-1.240638951;-0.721274693;0.8571377619;0.1867661017
-1.264976643;-0.549306446;-3.122309352;0.2080401465;0.0557795636;1.2308798507
-2.314111994;-0.835009817;-1.212399491;-0.720009249;-1.613512886;-0.743060716
-0.582065048;0.2489656581;-1.816150586;1.6718444469;-1.486499218;1.580155437
-1.192182517;-0.225833727;-1.638190166;1.3520090723;-2.152047048;-0.657673006
-0.928885445;0.1077204195;-1.777983766;1.1846783632;-2.365637021;0.6050416269
-1.708765485;0.2723082837;-3.204044854;-0.517819434;-2.822486932;-0.197283983
-1.910549889;-0.2766671;-0.821642874;0.6033699939;-1.471252937;1.069606951
-1.126578364;1.3666742979;-1.095470976;-0.442795115;-2.211548567;1.5494684167
-3.01480423;-1.412666226;-2.414320651;-0.290623904;-2.672126663;-0.710376923
-3.098390696;1.0819527959;-1.106076161;-0.229243384;-1.042895997;1.2899450931
-2.091453216;0.2026363739;-1.735652666;-1.182949729;-2.490777762;-0.017471815
-2.316377947;0.3746447889;-2.019133545;0.466125539;-3.145193531;0.5941300788
-1.89322547;-0.289166501;-3.078313353;-0.917787577;-1.861302347;1.1197254149
